Date,Price,Open,High,Low,Vol.,Change %
"Oct 12, 2017","28,438.00","28,318.00","28,542.00","28,225.00",92.36K,0.43%
"Oct 11, 2017","28,317.00","28,440.00","28,608.00","28,274.00",102.74K,-0.41%
"Oct 10, 2017","28,435.00","28,344.00","28,472.00","28,244.00",93.97K,0.31%
"Oct 09, 2017","28,347.00","28,434.00","28,475.00","28,255.00",102.87K,-0.31%
"Oct 06, 2017","28,435.00","28,325.00","28,623.00","28,280.00",82.48K,0.37%
"Oct 04, 2017","28,329.00","28,145.00","28,514.00","28,141.00",88.07K,0.64%
"Oct 03, 2017","28,148.00","27,513.00","28,148.00","27,483.00",113.17K,2.30%
"Sep 29, 2017","27,515.00","27,300.00","27,542.00","27,244.00",103.64K,-0.14%
"Sep 28, 2017","27,554.00","27,650.00","27,659.00","27,469.00",21.89K,-0.35%
"Sep 27, 2017","27,650.00","27,573.00","27,685.00","27,446.00",107.70K,0.30%
"Sep 26, 2017","27,568.00","27,475.00","27,584.00","27,289.00",197.23K,0.34%
"Sep 25, 2017","27,475.00","27,795.00","27,895.00","27,463.00",186.04K,-1.11%
"Sep 22, 2017","27,783.00","28,129.00","28,139.00","27,771.00",110.90K,-1.23%
"Sep 21, 2017","28,129.00","28,115.00","28,175.00","28,035.00",96.76K,0.02%
"Sep 20, 2017","28,124.00","28,035.00","28,129.00","27,994.00",83.32K,0.32%
"Sep 19, 2017","28,035.00","28,161.00","28,225.00","28,014.00",109.29K,-0.45%
"Sep 18, 2017","28,161.00","27,781.00","28,168.00","27,751.00",102.18K,1.39%
"Sep 15, 2017","27,776.00","27,775.00","27,913.00","27,457.00",153.18K,-0.01%
"Sep 14, 2017","27,778.00","27,856.00","27,870.00","27,666.00",96.59K,-0.31%
"Sep 13, 2017","27,863.00","27,922.00","27,983.00","27,711.00",95.39K,-0.23%
"Sep 12, 2017","27,927.00","27,958.00","28,034.00","27,857.00",96.43K,-0.05%
"Sep 11, 2017","27,941.00","27,679.00","27,997.00","27,636.00",100.40K,0.96%
"Sep 08, 2017","27,676.00","27,486.00","27,685.00","27,486.00",103.65K,0.72%
"Sep 07, 2017","27,478.00","27,575.00","27,788.00","27,430.00",122.51K,-0.39%
"Sep 06, 2017","27,585.00","27,705.00","27,750.00","27,350.00",130.07K,-0.45%
"Sep 05, 2017","27,711.00","27,759.00","27,824.00","27,628.00",102.12K,-0.17%
"Sep 04, 2017","27,757.00","27,863.00","27,968.00","27,611.00",109.97K,-0.41%
"Sep 01, 2017","27,870.00","27,942.00","28,050.00","27,851.00",101.18K,-0.25%
"Aug 31, 2017","27,939.00","27,975.00","28,014.00","27,820.00",104.36K,-0.29%
"Aug 30, 2017","28,020.00","27,717.00","28,031.00","27,689.00",20.95K,1.07%
"Aug 29, 2017","27,723.00","27,896.00","27,985.00","27,659.00",124.89K,-0.61%
"Aug 28, 2017","27,892.00","27,919.00","28,071.00","27,823.00",186.75K,-0.12%
"Aug 25, 2017","27,926.00","27,533.00","27,926.00","27,433.00",174.56K,1.45%
"Aug 24, 2017","27,526.00","27,517.00","27,600.00","27,465.00",99.23K,0.12%
"Aug 23, 2017","27,492.50","27,492.50","27,492.50","27,492.50",-,0.23%
"Aug 22, 2017","27,429.00","27,160.00","27,495.00","27,130.00",106.39K,1.00%
"Aug 21, 2017","27,158.00","27,022.00","27,199.00","26,951.00",108.08K,0.47%
"Aug 18, 2017","27,032.00","27,259.00","27,297.00","26,924.00",133.33K,-0.87%
